Aoharu x Kikanjuu (2015),/r/AnimeThemes/wiki/2015#wiki_aoharu_x_kikanjuu
Aoi Bungaku Series (2009),/r/AnimeThemes/wiki/2009#wiki_aoi_bungaku_series
Aoi Hana (2009),/r/AnimeThemes/wiki/2009#wiki_aoi_hana
Aoi Sekai no Chuushin de (2012),/r/AnimeThemes/wiki/2012#wiki_aoi_sekai_no_chuushin_de
Aoki Hagane no Arpeggio: Ars Nova (2013),/r/AnimeThemes/wiki/2013#wiki_aoki_hagane_no_arpeggio.3A_ars_nova
Aoki Ryuusei SPT Layzner (80s),/r/AnimeThemes/wiki/80s#wiki_aoki_ryuusei_spt_layzner
Aoki Ryuusei SPT Layzner OVA (80s),/r/AnimeThemes/wiki/80s#wiki_aoki_ryuusei_spt_layzner_ova
Apfelland Monogatari (90s),/r/AnimeThemes/wiki/90s#wiki_apfelland_monogatari
Appare-Ranman! (2020),/r/AnimeThemes/wiki/2020#wiki_appare-ranman.21
Aquarion Evol (2012),/r/AnimeThemes/wiki/2012#wiki_aquarion_evol
Aquarion Logos (2015),/r/AnimeThemes/wiki/2015#wiki_aquarion_logos
Ar Tonelico: Sekai no Owari de Utai Tsuzukeru Shoujo (2006),/r/AnimeThemes/wiki/2006#wiki_ar_tonelico.3A_sekai_no_owari_de_utai_tsuzukeru_shoujo
Araburu Kisetsu no Otome-domo yo. (2019),/r/AnimeThemes/wiki/2019#wiki_araburu_kisetsu_no_otome-domo_yo.
Araiya-san!: Ore to Aitsu ga Onnayu de!? (2019),/r/AnimeThemes/wiki/2019#wiki_araiya-san.21.3A_ore_to_aitsu_ga_onnayu_de.21.3F
Arakawa Under the Bridge (2010),/r/AnimeThemes/wiki/2010#wiki_arakawa_under_the_bridge
Arakawa Under the Bridge x Bridge (2010),/r/AnimeThemes/wiki/2010#wiki_arakawa_under_the_bridge_x_bridge
Arata Kangatari (2013),/r/AnimeThemes/wiki/2013#wiki_arata_kangatari
Arata naru Sekai: World's/Start/Load/End (2012),/r/AnimeThemes/wiki/2012#wiki_arata_naru_sekai.3A_world.27s.2Fstart.2Fload.2Fend
Arc the Lad (90s),/r/AnimeThemes/wiki/90s#wiki_arc_the_lad
Arcana Famiglia (2012),/r/AnimeThemes/wiki/2012#wiki_arcana_famiglia
Area 88 (80s),/r/AnimeThemes/wiki/80s#wiki_area_88
Area no Kishi (2012),/r/AnimeThemes/wiki/2012#wiki_area_no_kishi
Argento Soma (2000),/r/AnimeThemes/wiki/2000#wiki_argento_soma
Argonavis from BanG Dream! (2020),/r/AnimeThemes/wiki/2020#wiki_argonavis_from_bang_dream.21
Aria The Animation (2005),/r/AnimeThemes/wiki/2005#wiki_aria_the_animation
Aria The Avvenire (2015),/r/AnimeThemes/wiki/2015#wiki_aria_the_avvenire
Aria the Crepuscolo (2021),/r/AnimeThemes/wiki/2021#wiki_aria_the_crepuscolo
Aria The Natural (2006),/r/AnimeThemes/wiki/2006#wiki_aria_the_natural
Aria The Origination (2008),/r/AnimeThemes/wiki/2008#wiki_aria_the_origination
Aria The OVA: Arietta (2007),/r/AnimeThemes/wiki/2007#wiki_aria_the_ova.3A_arietta
Arifureta Shokugyou de Sekai Saikyou (2019),/r/AnimeThemes/wiki/2019#wiki_arifureta_shokugyou_de_sekai_saikyou
Arifureta Shokugyou de Sekai Saikyou 2nd Season (2022),/r/AnimeThemes/wiki/2022#wiki_arifureta_shokugyou_de_sekai_saikyou_2nd_season
Ark IX (2013),/r/AnimeThemes/wiki/2013#wiki_ark_ix
ARP Backstage Pass (2020),/r/AnimeThemes/wiki/2020#wiki_arp_backstage_pass
Arslan Senki (TV) (2015),/r/AnimeThemes/wiki/2015#wiki_arslan_senki_.28tv.29
